BI00B32DE    TT2094         20220901180D0204080              AVSSH 0.75F BR           CCN000015000000007000FN00000000020220901000007000NNM00 20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VT328077
BI00A32DE    TT209A         2022082318007704180              AVSS 1.25F BR            CCN000000800000000800FN00000000020220901000000800NNE20 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX228053
BI00A32DE    TT209B         2022082418007704152              AVSS 1.25F P             CCN000003200000003200FN00000000020220901000003200NNE23 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128016
BI00A32DE    TT209B         2022082418007704192              AVSS 1.25F V             CCN000001600000001600FN00000000020220901000001600NNE23 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128017
BI00A32DE    TT209B         20220823180D0203970              AVSSH 0.5F Y             CCN000010500000010500FN00000000020220901000010500NNE22 20220817120422    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VW128009
BI00B32DE    TT2102         2022091518007704152              AVSS 1.25F P             CCN000002400000001600FN00000000020221001000001600NNM00 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00A32DE    TT2104         20220824180D0204192              AVSSH 1.25F V            CCN000003200000003200FN00000000020221001000003200NNM20 20220817120422    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VT229086
BI00B32DE    @TT210A        20220908181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000400000000200FN00000000020221001000000200NNE00 20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00B32DE    TT210B         2022090818007703760              AVSS 0.3F G              CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428004
BI00B32DE    TT210B         2022090818007703741              AVSS 0.3F GY             CCN000002000000002000FN00000000020221001000002000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428005
BI00B32DE    TT210B         2022090818007703750              AVSS 0.3F R              CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428006
BI00B32DE    TT210B         2022090818007704190              AVSS 1.25F L             CCN000003200000003200FN00000000020221001000003200NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428007
BI00B32DE    TT210B         2022090818007704152              AVSS 1.25F P             CCN000003200000003200FN00000000020221001000003200NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428008
BI00B32DE    TT210B         2022090818007704192              AVSS 1.25F V             CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428009
BI00B32DE    TT210B         20220908180D0204060              AVSSH 0.75F G            CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VS428002
BI00B32DE    TT210B         20220908180D0204192              AVSSH 1.25F V            CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VS428003
BI00B32DE    @TT210B        20220908181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE   20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VS428001
BI00A32DE    TT2094         20220823180D0204080              AVSSH 0.75F BR           CCN000002000000002000FN00000000020220901000002000NNM28 20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VT328077
BI00B32DE    TT210C         2022091518007704180              AVSS 1.25F BR            CCN000001600000001600FN00000000020221001000001600NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX528003
BI00B32DE    TT210C         2022091518007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020221001000001600NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX528004
BI00B32DE    @TT210C        20220915181F21002ZZ              AVSSHCS-S 0.5FX1 B       CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000040000001908400000000032DE    TVYEV-TV000000000000VX528001
BI00B32DE    @TT210C        20220915181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE   20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VX528002
BI00A32DE    @TT210A        20220824181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE20 20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00A32DE    TT2102         2022082418007704152              AVSS 1.25F P             CCN000000800000000800FN00000000020221001000000800NNM20 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00A32DJ    GHT2210-1      20220819180D0204030              AVSSH 0.75F B            CCN000003000000003000FN00000000020221001000003000NNM21 20220817142015    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH328002
BI00B32W4    4500198740     2022100418018403770              CAVS 0.3 Y               CCN000006000000006000FN00000000020221001000006000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329020
BI00B32W4    4500198740     2022100418018403752              CAVS 0.3 P               CCN000008000000008000FN00000000020221001000008000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329014
BI00B32W4    4500198740     2022100418018403790              CAVS 0.3 L               CCN000018000000018000FN00000000020221001000018000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329011
BI00B32W4    4500198740     2022100418018403792              CAVS 0.3 V               CCN000040000000040000FN00000000020221001000040000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329017
BI00B32W4    4500198740     2022100418018403761              CAVS 0.3 LG              CCN000010000000010000FN00000000020221001000010000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329012
BI00B32W4    4500198740     2022100418018403741              CAVS 0.3 GY              CCN000018000000018000FN00000000020221001000018000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329010
BI00B32W4    4500198740     2022100418018403751              CAVS 0.3 O               CCN000008000000008000FN00000000020221001000008000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329013
BI00B32W4    4500198740     2022100418018403749              CAVS 0.3 W/L             CCN000004000000004000FN00000000020221001000004000NNE   20220817135330W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OI329019
BI00B32W4    4500198740     2022100418018403930              CAVS 0.5 B               CCN000039000000039000FN00000000020221001000039000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329021
BI00B32W4    4500198740     2022100418018403940              CAVS 0.5 W               CCN000012000000012000FN00000000020221001000012000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329033
BI00B32W4    4500198740     2022100418018403941              CAVS 0.5 GY              CCN000013500000013500FN00000000020221001000013500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329025
BI00B32W4    4500198740     2022100418018403934              CAVS 0.5 B/W             CCN000003000000003000FN00000000020221001000003000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329022
BI00B32W4    4500198740     2022100418018403950              CAVS 0.5 R               CCN000030000000030000FN00000000020221001000030000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329030
BI00B32W4    4500198740     2022100418018403951              CAVS 0.5 O               CCN000001500000001500FN00000000020221001000001500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329028
BI00B32W4    4500198740     2022100418018403952              CAVS 0.5 P               CCN000004500000004500FN00000000020221001000004500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329029
BI00B32W4    4500198740     2022100418018403960              CAVS 0.5 G               CCN000004500000004500FN00000000020221001000004500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329024
BI00B32W4    4500198740     2022100418018403961              CAVS 0.5 LG              CCN000006000000006000FN00000000020221001000006000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329027
BI00B32W4    4500198740     2022100418018403970              CAVS 0.5 Y               CCN000003000000003000FN00000000020221001000003000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329034
BI00B32W4    4500198740     2022100418018403980              CAVS 0.5 BR              CCN000001500000001500FN00000000020221001000001500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329023
BI00B32W4    4500198740     2022100418018403990              CAVS 0.5 L               CCN000003000000003000FN00000000020221001000003000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329026
BI00B32W4    4500198740     2022100418018403991              CAVS 0.5 SB              CCN000016500000016500FN00000000020221001000016500NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329031
BI00B32W4    4500198740     2022100418018403992              CAVS 0.5 V               CCN000012000000012000FN00000000020221001000012000NNE   20220817135330W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OI329032
BI00B32W4    4500198740     202210041801R706970              CIVUS 0.35 Y             CCN000003000000003000FN00000000020221001000003000NNE   20220817135330W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OI329007
BI00B32W4    4500198740     202210041801R706940              CIVUS 0.35 W             CCN000003000000003000FN00000000020221001000003000NNE   20220817135330W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OI329006
BI00B32W4    4500198740     202210041801R706930              CIVUS 0.35 B             CCN000003000000003000FN00000000020221001000003000NNE   20220817135330W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OI329003
BI00B32W4    4500198740     202210041801R706980              CIVUS 0.35 BR            CCN000003000000003000FN00000000020221001000003000NNE   20220817135330W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OI329004
BI00B32W4    4500198740     202210041801R706990              CIVUS 0.35 L             CCN000009000000009000FN00000000020221001000009000NNE   20220817135330W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OI329005
BI00B32W4    @4500198740    20221004181B09116K3              CAVSAS 0.3X2 GY/P        CCN000005950000005950FN00000000020221001000005950NNE   20220817135328W41 1W    00000035000002254000000000032W41   HJYHK-J 000000000000OI329002
BI00B32W4    @4500198740    20221004181B0911641              CAVSAS 0.3X2 GY          CCN000007000000007000FN00000000020221001000007000NNE   20220817135328W41 1W    00000035000002254000000000032W41   HJYHK-J 000000000000OI329001
BI00B32W4    4500198744     2022101118018403791              CAVS 0.3 SB              CCN000016000000016000FN00000000020221001000016000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429021
BI00B32W4    4500198744     2022101118018403740              CAVS 0.3 W               CCN000012000000012000FN00000000020221001000012000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429023
BI00B32W4    4500198744     2022101118018403730              CAVS 0.3 B               CCN000022000000022000FN00000000020221001000022000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429012
BI00B32W4    4500198744     2022101118018403750              CAVS 0.3 R               CCN000026000000026000FN00000000020221001000026000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429020
BI00B32W4    4500198744     2022101118018403752              CAVS 0.3 P               CCN000004000000004000FN00000000020221001000004000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429019
BI00B32W4    4500198744     2022101118018403760              CAVS 0.3 G               CCN000018000000018000FN00000000020221001000018000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429014
BI00B32W4    4500198744     2022101118018403770              CAVS 0.3 Y               CCN000016000000016000FN00000000020221001000016000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429025
BI00B32W4    4500198744     2022101118018403780              CAVS 0.3 BR              CCN000006000000006000FN00000000020221001000006000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429013
BI00B32W4    4500198744     2022101118018403790              CAVS 0.3 L               CCN000012000000012000FN00000000020221001000012000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429016
BI00B32W4    4500198744     2022101118018403792              CAVS 0.3 V               CCN000018000000018000FN00000000020221001000018000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429022
BI00B32W4    4500198744     2022101118018403761              CAVS 0.3 LG              CCN000016000000016000FN00000000020221001000016000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429017
BI00B32W4    4500198744     2022101118018403741              CAVS 0.3 GY              CCN000016000000016000FN00000000020221001000016000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429015
BI00B32W4    4500198744     2022101118018403751              CAVS 0.3 O               CCN000008000000008000FN00000000020221001000008000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429018
BI00B32W4    4500198744     2022101118018403749              CAVS 0.3 W/L             CCN000012000000012000FN00000000020221001000012000NNE   20220817135331W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OV429024
BI00B32W4    4500198744     2022101118018403934              CAVS 0.5 B/W             CCN000010500000010500FN00000000020221001000010500NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429027
BI00B32W4    4500198744     2022101118018403930              CAVS 0.5 B               CCN000028500000028500FN00000000020221001000028500NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429026
BI00B32W4    4500198744     2022101118018403940              CAVS 0.5 W               CCN000006000000006000FN00000000020221001000006000NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429038
BI00B32W4    4500198744     2022101118018403941              CAVS 0.5 GY              CCN000010500000010500FN00000000020221001000010500NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429030
BI00B32W4    4500198744     2022101118018403950              CAVS 0.5 R               CCN000013500000013500FN00000000020221001000013500NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429035
BI00B32W4    4500198744     2022101118018403951              CAVS 0.5 O               CCN000001500000001500FN00000000020221001000001500NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429033
BI00B32W4    4500198744     2022101118018403952              CAVS 0.5 P               CCN000003000000003000FN00000000020221001000003000NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429034
BI00B32W4    4500198744     2022101118018403960              CAVS 0.5 G               CCN000001500000001500FN00000000020221001000001500NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429029
BI00B32W4    4500198744     2022101118018403961              CAVS 0.5 LG              CCN000003000000003000FN00000000020221001000003000NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429032
BI00B32W4    4500198744     2022101118018403970              CAVS 0.5 Y               CCN000001500000001500FN00000000020221001000001500NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429039
BI00B32W4    4500198744     2022101118018403980              CAVS 0.5 BR              CCN000001500000001500FN00000000020221001000001500NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429028
BI00B32W4    4500198744     2022101118018403990              CAVS 0.5 L               CCN000003000000003000FN00000000020221001000003000NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429031
BI00B32W4    4500198744     2022101118018403991              CAVS 0.5 SB              CCN000009000000009000FN00000000020221001000009000NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429036
BI00B32W4    4500198744     2022101118018403992              CAVS 0.5 V               CCN000007500000007500FN00000000020221001000007500NNE   20220817135331W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OV429037
BI00B32W4    4500198744     2022101118018404157              CAVS 1.25 R/Y            CCN000001600000001600FN00000000020221001000001600NNE   20220817135331W41 1W    00000080000001378000000000032W41   HJYHK-J 000000000000OV429040
BI00B32W4    4500198744     202210111801R706950              CIVUS 0.35 R             CCN000003000000003000FN00000000020221001000003000NNE   20220817135331W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OV429009
BI00B32W4    4500198744     202210111801R706940              CIVUS 0.35 W             CCN000003000000003000FN00000000020221001000003000NNE   20220817135331W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OV429010
BI00B32W4    4500198744     202210111801R706930              CIVUS 0.35 B             CCN000006000000006000FN00000000020221001000006000NNE   20220817135331W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OV429006
BI00B32W4    4500198744     202210111801R706970              CIVUS 0.35 Y             CCN000006000000006000FN00000000020221001000006000NNE   20220817135331W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OV429011
BI00B32W4    4500198744     202210111801R706990              CIVUS 0.35 L             CCN000006000000006000FN00000000020221001000006000NNE   20220817135331W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OV429008
BI00B32W4    4500198744     202210111801R706980              CIVUS 0.35 BR            CCN000006000000006000FN00000000020221001000006000NNE   20220817135331W41 1W    00000300000000386000000000032W41   HJYHK-J 000000000000OV429007
BI00B32W4    4500198744     202210111801R703930              CIVUS 0.5 B              CCN000002200000002200FN00000000020221001000002200NNE   20220817135331W41 1W    00000220000000525000000000032W41   HJYHK-J 000000000000OV429004
BI00B32W4    4500198744     202210111801R703970              CIVUS 0.5 Y              CCN000002200000002200FN00000000020221001000002200NNE   20220817135331W41 1W    00000220000000525000000000032W41   HJYHK-J 000000000000OV429005
BI00B32W4    @4500198744    20221011181B0911611              CAVSAS 0.3X2 GY/L        CCN000002450000002450FN00000000020221001000002450NNE   20220817135328W41 1W    00000035000002254000000000032W41   HJYHK-J 000000000000OV429002
BI00B32W4    @4500198744    20221011181B09116K3              CAVSAS 0.3X2 GY/P        CCN000004550000004550FN00000000020221001000004550NNE   20220817135328W41 1W    00000035000002254000000000032W41   HJYHK-J 000000000000OV429003
BI00B32W4    @4500198744    20221011181B0911641              CAVSAS 0.3X2 GY          CCN000003500000003500FN00000000020221001000003500NNE   20220817135328W41 1W    00000035000002254000000000032W41   HJYHK-J 000000000000OV429001
BI00B32W4    4500198753     2022100418018403791              CAVS 0.3 SB              CCN000002000000002000FN00000000020221001000002000NNE   20220817135332W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OR329002
BI00B32W4    4500198753     2022100418018403740              CAVS 0.3 W               CCN000002000000002000FN00000000020221001000002000NNE   20220817135332W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OR329003
BI00B32W4    4500198753     2022100418018403790              CAVS 0.3 L               CCN000002000000002000FN00000000020221001000002000NNE   20220817135332W41 1W    00000200000000471000000000032W41   HJYHK-J 000000000000OR329001
BI00B32W4    4500198753     2022100418018403951              CAVS 0.5 O               CCN000001500000001500FN00000000020221001000001500NNE   20220817135332W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OR329006
BI00B32W4    4500198753     2022100418018403952              CAVS 0.5 P               CCN000007500000007500FN00000000020221001000007500NNE   20220817135332W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OR329007
BI00B32W4    4500198753     2022100418018403970              CAVS 0.5 Y               CCN000006000000006000FN00000000020221001000006000NNE   20220817135332W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OR329008
BI00B32W4    4500198753     2022100418018403980              CAVS 0.5 BR              CCN000001500000001500FN00000000020221001000001500NNE   20220817135332W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OR329004
BI00B32W4    4500198753     2022100418018403990              CAVS 0.5 L               CCN000009000000009000FN00000000020221001000009000NNE   20220817135332W41 1W    00000150000000677000000000032W41   HJYHK-J 000000000000OR329005
BI00B32W4    4500198753     2022100418018404030              CAVS 0.85 B              CCN000006000000006000FN00000000020221001000006000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329009
BI00B32W4    4500198753     2022100418018404040              CAVS 0.85 W              CCN000003000000003000FN00000000020221001000003000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329018
BI00B32W4    4500198753     2022100418018404041              CAVS 0.85 GY             CCN000007000000007000FN00000000020221001000007000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329012
BI00B32W4    4500198753     2022100418018404050              CAVS 0.85 R              CCN000008000000008000FN00000000020221001000008000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329015
BI00B32W4    4500198753     2022100418018404051              CAVS 0.85 O              CCN000002000000002000FN00000000020221001000002000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329013
BI00B32W4    4500198753     2022100418018404052              CAVS 0.85 P              CCN000002000000002000FN00000000020221001000002000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329014
BI00B32W4    4500198753     2022100418018404060              CAVS 0.85 G              CCN000003000000003000FN00000000020221001000003000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329011
BI00B32W4    4500198753     2022100418018404070              CAVS 0.85 Y              CCN000003000000003000FN00000000020221001000003000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329019
BI00B32W4    4500198753     2022100418018404080              CAVS 0.85 BR             CCN000002000000002000FN00000000020221001000002000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329010
BI00B32W4    4500198753     2022100418018404091              CAVS 0.85 SB             CCN000003000000003000FN00000000020221001000003000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329016
BI00B32W4    4500198753     2022100418018404092              CAVS 0.85 V              CCN000001000000001000FN00000000020221001000001000NNE   20220817135332W41 1W    00000100000000965000000000032W41   HJYHK-J 000000000000OR329017
BI00B32W4    @4500198774    20221101181B32116S1              AVSSCS 0.3FX2 DGY        CCN000001750000001750FN00000000020221101000001750NNE   20220817135333W4171W    00000035000002276000000000032W417  HJYHK-J 000000000000OT32A002
BI00B32W4    @4500198774    20221101181B32037Y5              AVSSCS 0.3FX1 DGY/W      CCN000003000000003000FN00000000020221101000003000NNE   20220817135333W4171W    00000050000001780000000000032W417  HJYHK-J 000000000000OT32A001
BI00B32DE    TT2094         20220901180D0204080              AVSSH 0.75F BR           CCN000015000000007000FN00000000020220901000007000NNM00 20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VT328077
BI00A32DE    TT209A         2022082318007704180              AVSS 1.25F BR            CCN000000800000000800FN00000000020220901000000800NNE20 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX228053
BI00A32DE    TT209B         2022082418007704152              AVSS 1.25F P             CCN000003200000003200FN00000000020220901000003200NNE23 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128016
BI00A32DE    TT209B         2022082418007704192              AVSS 1.25F V             CCN000001600000001600FN00000000020220901000001600NNE23 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VW128017
BI00A32DE    TT209B         20220823180D0203970              AVSSH 0.5F Y             CCN000010500000010500FN00000000020220901000010500NNE22 20220817120422    1W    00000150000000689000000000032DE    TVYEV-TV000000000000VW128009
BI00B32DE    TT2102         2022091518007704152              AVSS 1.25F P             CCN000002400000001600FN00000000020221001000001600NNM00 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00A32DE    TT2104         20220824180D0204192              AVSSH 1.25F V            CCN000003200000003200FN00000000020221001000003200NNM20 20220817120422    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VT229086
BI00B32DE    @TT210A        20220908181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000400000000200FN00000000020221001000000200NNE00 20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00B32DE    TT210B         2022090818007703760              AVSS 0.3F G              CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428004
BI00B32DE    TT210B         2022090818007703741              AVSS 0.3F GY             CCN000002000000002000FN00000000020221001000002000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428005
BI00B32DE    TT210B         2022090818007703750              AVSS 0.3F R              CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000200000000496000000000032DE    TVYEV-TV000000000000VS428006
BI00B32DE    TT210B         2022090818007704190              AVSS 1.25F L             CCN000003200000003200FN00000000020221001000003200NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428007
BI00B32DE    TT210B         2022090818007704152              AVSS 1.25F P             CCN000003200000003200FN00000000020221001000003200NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428008
BI00B32DE    TT210B         2022090818007704192              AVSS 1.25F V             CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VS428009
BI00B32DE    TT210B         20220908180D0204060              AVSSH 0.75F G            CCN000004000000004000FN00000000020221001000004000NNE   20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VS428002
BI00B32DE    TT210B         20220908180D0204192              AVSSH 1.25F V            CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000080000001458000000000032DE    TVYEV-TV000000000000VS428003
BI00B32DE    @TT210B        20220908181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE   20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VS428001
BI00A32DE    TT2094         20220823180D0204080              AVSSH 0.75F BR           CCN000002000000002000FN00000000020220901000002000NNM28 20220817120422    1W    00000100000000934000000000032DE    TVYEV-TV000000000000VT328077
BI00B32DE    TT210C         2022091518007704180              AVSS 1.25F BR            CCN000001600000001600FN00000000020221001000001600NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX528003
BI00B32DE    TT210C         2022091518007704140              AVSS 1.25F W             CCN000001600000001600FN00000000020221001000001600NNE   20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VX528004
BI00B32DE    @TT210C        20220915181F21002ZZ              AVSSHCS-S 0.5FX1 B       CCN000002400000002400FN00000000020221001000002400NNE   20220817120422    1W    00000040000001908400000000032DE    TVYEV-TV000000000000VX528001
BI00B32DE    @TT210C        20220915181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE   20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VX528002
BI00A32DE    @TT210A        20220824181F21031ZZ              AVSSHCS-S 1.25FX2 B/P    CCN000000200000000200FN00000000020221001000000200NNE20 20220817120422    1W    00000020000004267300000000032DE    TVYEV-TV000000000000VR428007
BI00A32DE    TT2102         2022082418007704152              AVSS 1.25F P             CCN000000800000000800FN00000000020221001000000800NNM20 20220817120422    1W    00000080000001389000000000032DE    TVYEV-TV000000000000VT528078
BI00A32DJ    GHT2210-1      20220819180D0204030              AVSSH 0.75F B            CCN000003000000003000FN00000000020221001000003000NNM21 20220817142015    1W    00000100000000934000000000032DJ    RBYIPLRB000000000000XH328002
BI00B32M1    TV208C         2022090118007703730              AVSS 0.3F B              CCN000010000000006000FN00000000020220801000006000NNE00 20220817120422    1W    00000200000000496000000000032M1    VNYEV   000000000000VC328002
